@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
1,22,33,1,?,1,1512,?,71,3,3
2,10,?,2,?,2,1060,?,68,1,93
3,10,?,3,?,3,2785,?,63,1,78
4,28,11,4,?,4,2573,?,61,2,80
2,?,?,4,?,5,2765,?,60,2,123
1,22,?,5,?,6,1658,?,68,2,1
2,?,?,4,?,7,2816,?,49,2,119
3,10,?,6,?,8,3136,?,71,1,118
3,10,18,6,?,9,3243,?,60,2,143
2,18,?,4,?,10,825,?,69,2,103
5,1,22,7,4,11,2229,?,70,3,1
5,15,1,2,?,12,1701,?,71,3,1
6,10,17,8,?,13,2319,?,70,3,89
2,10,18,9,?,14,2953,?,66,1,149
1,22,?,10,?,15,969,?,70,1,1
2,18,?,11,17,16,2045,?,70,2,144
7,2,28,6,?,17,2575,?,71,2,124
7,?,?,4,?,18,675,?,69,1,99
7,35,?,12,?,19,675,?,70,1,105
6,17,?,4,?,12,1827,3329,68,1,56
7,2,10,13,?,20,988,?,66,2,125
7,2,10,13,?,21,2110,?,68,2,119
6,?,?,4,?,12,1597,?,67,2,84
7,10,?,14,?,22,2130,?,71,1,81
2,28,10,15,19,23,2275,?,68,1,98
2,28,10,16,5,24,?,?,69,1,110
4,11,?,4,?,25,89,?,57,1,93
7,10,?,5,?,26,1751,?,67,1,97
7,10,?,5,?,27,111,?,62,1,99
3,10,?,17,?,28,2197,?,69,2,106
5,1,22,5,?,29,2611,?,65,1,1
2,35,?,4,?,30,1884,?,66,1,89
2,35,17,4,?,31,2009,?,69,2,105
7,10,35,18,?,32,2819,?,69,1,87
7,2,10,19,?,33,2679,?,64,1,97
4,?,?,4,18,34,3125,?,60,1,109
6,10,?,14,?,12,716,?,70,1,93
2,10,17,20,14,35,363,?,68,3,109
8,?,?,4,?,36,708,?,66,2,44
6,?,?,4,?,12,2740,3526,68,1,75
