genre1,genre2,genre3,Country1,Country2,Country3,Releas_date,Main_Acter,Director1,Director2,Director3,type,title,release_year,rating,duration
International TV Shows,TV Dramas,TV Sci-Fi & Fantasy,Brazil,,, June 7,Joֳ£o Miguel,Jorge Michel Grau,,,TV Show,3%,2019,7.8,3 Seasons
Dramas,International Movies,,Mexico,,,דצמ-23,Demiֳ¡n Bichir,Gilbert Chan,,,Movie,07:19,2016,6,93 min
Horror Movies,International Movies,,Singapore,,,דצמ-20,Tedd Chan,Shane Acker,,,Movie,23:59,2011,5,78 min
Action & Adventure,Independent Movies,Sci-Fi & Fantasy,United States,,,נוב-16,Elijah Wood,Robert Luketic,,,Movie,9,2009,7.2,80 min
Dramas,,,United States,,,ינו-01,Jim Sturgess,Serdar Akar,,,Movie,21,2008,6.9,123 min
International TV Shows,TV Dramas,TV Mysteries,Turkey,,,יול-01,Erdal Beֵikֳ§ioִlu,Kevin Reynolds,,,TV Show,46,2016,7,1 Season
Dramas,,,United States,,,נוב-01,Samuel L. Jackson,Shravan Kumar,,,Movie,187,1997,6.8,119 min
Horror Movies,International Movies,,India,,,אפר-01,Divya Dutta,Vikram Bhatt,,,Movie,706,2019,5.5,118 min
Horror Movies,International Movies,Thrillers,India,,,דצמ-15,Rajneesh Duggal,Zak Hilditch,,,Movie,1920,2008,6.7,143 min
Dramas,Thrillers,,United States,,,אוק-20,Thomas Jane,Diego Enrique Osorno,,,Movie,1922,2017,6.3,103 min
Crime TV Shows,International TV Shows,TV Dramas,Poland,United States,,נוב-30,Robert Wiִ™ckiewicz,Nottapon Boonprakob,,,TV Show,1983,2018,7.4,1 Season
Crime TV Shows,Docuseries,International TV Shows,Mexico,,,מאי-17,bam,Kunle Afolayan,,,TV Show,1994,2019,7.5,1 Season
Documentaries,International Movies,Sports Movies,Thailand,,,מרץ-01,Artiwara Kongmalai,Paul Greengrass,,,Movie,"2,215",2018,8,89 min
Dramas,International Movies,Thrillers,Nigeria,,,ספט-01,Sadiq Daba,Swapnaneel Jayakar,,,Movie,אוק-01,2014,0,149 min
International TV Shows,TV Dramas,,none,,,מרץ-20,Shahd El Yaseen,Fernando Lebrija,,,TV Show,פבר-09,2018,0,1 Season
Dramas,Thrillers,,Norway,Iceland,United States,אוק-10,Anders Danielsen Lie,Michael Kennedy,,,Movie,22-יול,2018,6.8,144 min
Comedies,Dramas,Independent Movies,India,,,מרץ-29,Rahul Pethe,Robert McCullough Jr.,,,Movie,15-אוג,2019,6.5,124 min
Comedies,,,United States,,,ספט-08,Nesta Cooper,Cristina Jacob,,,Movie,#realityhigh,2017,5.7,99 min
Comedies,Romantic Movies,,Canada,,,אפר-10,Jake Short,Cristina Jacob,,,Movie,#Roxy,2018,5.6,105 min
Documentaries,Sports Movies,,United States,,,דצמ-01,bam,Lyric R. Cabral,David Felix Sutcliffe,,Movie,#Rucker50,2016,5.4,56 min
Comedies,Dramas,International Movies,Romania,,,יונ-01,Flavia Hojda,Frank Ariza,,,Movie,#Selfie,2014,6.6,125 min
Comedies,Dramas,International Movies,Romania,,,יונ-01,Maia Morgenstern,Mohamed Diab,,,Movie,#Selfie 69,2016,6.9,119 min
Documentaries,,,United States,,,יונ-30,bam,Karyn Kusama,,,Movie,(T)ERROR,2015,6.6,84 min
Comedies,International Movies,,Spain,,,יול-19,Estefanֳ­a de los Santos,Muharrem Gֳ¼lmez,,,Movie,"ֲ¡Ay, mi madre!",2019,4,81 min
Dramas,Independent Movies,International Movies,Egypt,France,,אוק-11,Nelly Karim,Ozan Aֳ§ִ±ktan,,,Movie,״§״´״×״¨״§Ùƒ,2016,0,98 min
Dramas,Independent Movies,International Movies,Italy,Turkey,,אפר-04,Tuba Bֳ¼yֳ¼kֳ¼stֳ¼n,ֳ“skar Thֳ³r Axelsson,,,Movie,ִ°stanbul Kִ±rmִ±zִ±sִ±,2017,5.7,110 min
Action & Adventure,Sci-Fi & Fantasy,,United States,,,פבר-01,Charlize Theron,Adam Deyoe,,,Movie,ֳ†on Flux,2005,5.6,93 min
Comedies,International Movies,,Turkey,,,מרץ-10,Erdem Yener,Leif Tilden,,,Movie,ֳ‡arsi Pazar,2015,5.4,97 min
Comedies,International Movies,,Turkey,,,מרץ-10,Ayֳ§a Erturan,Adze Ugah,,,Movie,ֳ‡ok Filim Hareketler Bunlar,2010,4.6,99 min
Horror Movies,International Movies,,Iceland,,,מרץ-27,Jֳ³hannes Haukur Jֳ³hannesson,Nicolas Brossette,,,Movie,ֳ‰g man ֳ¾ig,2017,6.3,106 min
Crime TV Shows,International TV Shows,TV Dramas,Turkey,,,ינו-17,Alican Yֳ¼cesoy,Roland Emmerich,,,TV Show,ֵubat,2013,5.9,1 Season
Dramas,Romantic Movies,,United States,,,יול-01,Lexi Giovagnoli,Marcel Barrena,,,Movie,1 Chance 2 Dance,2014,5.2,89 min
Dramas,Romantic Movies,Sports Movies,United States,,,יול-07,Billy Crudup,Melinda Janko,,,Movie,1 Mile to You,2017,6.7,105 min
Comedies,International Movies,Romantic Movies,South Africa,,,אוק-18,Ayo Makun,Shrihari Sathe,,,Movie,10 Days in Sun City,2017,5.2,87 min
Comedies,Dramas,International Movies,France,,,יול-01,Franck Dubosc,Sam Upton,,,Movie,10 jours en or,2012,6,97 min
Action & Adventure,,,United States,South Africa,,יונ-01,Steven Strait,Victor Zarcoff,,,Movie,"10,000 B.C.",2008,0,109 min
Documentaries,International Movies,,Spain,,,יול-06,bam,Daniel Stamm,,,Movie,100 Days Of Solitude,2018,0,93 min
Dramas,International Movies,Sports Movies,Portugal,Spain,,מרץ-10,Dani Rovira,Ava DuVernay,,,Movie,100 Meters,2016,7.8,109 min
Movies,,,United States,,,נוב-02,Isabela Moner,Daniel Lee,,,Movie,100 Things to do Before High School,2014,6.9,44 min
Documentaries,,,United States,,,מרץ-20,bam,Scott Hussion,Seth Fuller,,Movie,100 Years: One Woman's Fight for Justice,2016,0,75 min
British TV Shows,International TV Shows,Reality TV,United Kingdom,,,נוב-01,Daniel Palmer,Adam Davis,Jerry Kolber,Trey Nelson,TV Show,100% Hotter,2017,4.7,1 Season
Dramas,International Movies,,India,,,דצמ-01,Usha Naik,Richard Donner,,,Movie,1000 Rupee Note,2014,7.5,89 min
Dramas,Independent Movies,Sports Movies,United States,,,מרץ-14,Sam Upton,Salvador Calvo,,,Movie,12 ROUND GUN,2017,5.4,90 min
International TV Shows,Korean TV Shows,Romantic TV Shows,South Korea,,,מאי-22,So-yeon Lee,Raymond Wood,,,TV Show,12 Years Promise,2014,7.5,1 Season
Horror Movies,Independent Movies,Thrillers,United States,,,אוג-13,PJ McCabe,Abhishek Varman,,,Movie,13 Cameras,2015,5.1,90 min
Crime TV Shows,TV Dramas,TV Mysteries,United States,,, August 23,Dylan Minnette,Morgan Neville,,,TV Show,13 Reasons Why,2019,7.8,3 Seasons
Crime TV Shows,Docuseries,,United States,,, August 23,Dylan Minnette,Hasraf Dulull,,,TV Show,13 Reasons Why: Beyond the Reasons,2019,6.7,3 Seasons
Horror Movies,Thrillers,,United States,,,ינו-13,Mark Webber,Mike Mills,,,Movie,13 Sins,2014,6.4,93 min
Documentaries,,,United States,,,אוק-07,bam,Jon Lucas,Scott Moore,,Movie,13TH,2016,8.2,101 min
Movies,,,none,,,ינו-26,Oprah Winfrey,Joey Curtis,,,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,2017,6.8,37 min
Action & Adventure,International Movies,,Hong Kong,China,Singapore,אפר-03,Donnie Yen,Brian Smrz,,,Movie,14 Blades,2010,6.5,113 min
Horror Movies,Thrillers,,United States,,,אוק-27,Neville Archambault,Simranjit Singh Hundal,,,Movie,14 Cameras,2018,4.6,89 min
Documentaries,,,United States,,,פבר-01,bam,Geun-hyun Cho,,,Movie,14 Minutes from Earth,2016,5.5,84 min
