Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
1,22,33,1,,,1,1512,,,0,71,3,3,,,,,
2,10,,2,,,2,1060,,,1,68,1,93,,,,,
3,10,,3,,,3,2785,,,1,63,1,78,,,,,
4,28,11,4,,,4,2573,,,1,61,2,80,,,,,
2,,,4,,,5,2765,,,1,60,2,123,,,,Correlations (janner1),
1,22,,5,,,6,1658,,,0,68,2,1,,,,1,janner 1 
2,,,4,,,7,2816,,,1,49,2,119,,,,-0.140288983,janner 2
3,10,,6,,,8,3136,,,1,71,1,118,,,,0.017977366,janner 3
3,10,18,6,,,9,3243,,,1,60,2,143,,,,-0.141663467,country 1
2,18,,4,,,10,825,,,1,69,2,103,,,,-0.076876404,country 2
5,1,22,7,4,,11,2229,,,0,70,3,1,,,,-0.062304604,country 3
5,15,1,2,,,12,1701,,,0,71,3,1,,,,0.000462744,Main_Acter
6,10,17,8,,,13,2319,,,1,70,3,89,,,,-0.002093467,Director1
2,10,18,9,,,14,2953,,,1,66,1,149,,,,0.034772719,Director2
1,22,,10,,,15,969,,,0,70,1,1,,,,0.048068434,Director3
2,18,,11,17,4,16,2045,,,1,70,2,144,,,,-0.199356429,type
7,2,28,6,,,17,2575,,,1,71,2,124,,,,-0.072659947,release_year
7,,,4,,,18,675,,,1,69,1,99,,,,0.083870763,rating
7,35,,12,,,19,675,,,1,70,1,105,,,,-0.282546883,duration[Seasons/Min]
6,17,,4,,,12,1827,3329,,1,68,1,56,,,,,
7,2,10,13,,,20,988,,,1,66,2,125,,,,Correlations (janner2),
7,2,10,13,,,21,2110,,,1,68,2,119,,,,-0.140288983,janner 1 
6,,,4,,,12,1597,,,1,67,2,84,,,,1,janner 2
7,10,,14,,,22,2130,,,1,71,1,81,,,,-0.04510458,janner 3
2,28,10,15,19,,23,2275,,,1,68,1,98,,,,-0.092317717,country 1
2,28,10,16,5,,24,,,,1,69,1,110,,,,-0.075613884,country 2
4,11,,4,,,25,89,,,1,57,1,93,,,,-0.058309757,country 3
7,10,,5,,,26,1751,,,1,67,1,97,,,,0.062102082,Main_Acter
7,10,,5,,,27,111,,,1,62,1,99,,,,-0.005344247,Director1
3,10,,17,,,28,2197,,,1,69,2,106,,,,0.008313892,Director2
5,1,22,5,,,29,2611,,,0,65,1,1,,,,-0.121144825,Director3
2,35,,4,,,30,1884,,,1,66,1,89,,,,-0.190195392,type
2,35,17,4,,,31,2009,,,1,69,2,105,,,,0.064546256,release_year
7,10,35,18,,,32,2819,,,1,69,1,87,,,,0.043960055,rating
7,2,10,19,,,33,2679,,,1,64,1,97,,,,-0.214404807,duration[Seasons/Min]
4,,,4,18,,34,3125,,,1,60,1,109,,,,,
